SPICEJET FLIGHTS SCHEDULE|||||||||
Direct & Via Flights|||||||||
All timings are shown in Local timings|||||||||
Schedule subject to change and regulatory authority approvals|||||||||
ORIGIN|DESTINATION|FREQUENCY|FLIGHT NO|DEPARTURE|ARRIVAL|VIA|EFFECTIVE FROM|EFFECTIVE TILL|REMARKS
DELHI|BENGALURU|DAILY|SG  137|06:05 AM|08:50 AM|-|01 JUL 15|15 SEP 15|
DELHI|BENGALURU|SATURDAY|SG  147|02:40 PM|05:30 PM|-|02 AUG 15|28 AUG 15|
DELHI|BENGALURU|DAILY|SG  139|04:05 PM|06:50 PM|-|16 AUG 15|24 OCT 15|
DELHI|BENGALURU|DAILY|SG  144|08:50 PM|11:35 PM|-|17 AUG 15|24 OCT 15|
DELHI|BENGALURU|DAILY|SG  137|06:05 AM|08:50 AM|-|16 SEP 15|24 OCT 15|
DELHI|BENGALURU|DAILY|SG  137|06:05 AM|08:50 AM|-|25 OCT 15|26 MAR 16|
DELHI|BENGALURU|DAILY|SG  139|06:15 PM|09:00 PM|-|25 OCT 15|26 MAR 16|
DELHI|BENGALURU|DAILY|SG  141|08:50 PM|11:40 PM|-|25 OCT 15|26 MAR 16|
DELHI|BENGALURU|SUNDAY|SG  135|02:10 PM|05:00 PM|-|01 NOV 15|01 NOV 15|
DELHI|BENGALURU|SUNDAY|SG  135|02:10 PM|05:00 PM|-|15 NOV 15|15 NOV 15|
DELHI|BENGALURU|SUNDAY|SG  135|02:10 PM|05:00 PM|-|06 DEC 15|06 DEC 15|
DELHI|BENGALURU|SUNDAY|SG  135|02:10 PM|05:00 PM|-|20 DEC 15|20 DEC 15|
DELHI|BENGALURU|SUNDAY|SG  135|02:10 PM|05:00 PM|-|03 JAN 16|03 JAN 16|
DELHI|BENGALURU|SUNDAY|SG  135|02:10 PM|05:00 PM|-|17 JAN 16|17 JAN 16|
DELHI|BENGALURU|SUNDAY|SG  135|02:10 PM|05:00 PM|-|07 FEB 16|07 FEB 16|
DELHI|BENGALURU|SUNDAY|SG  135|02:10 PM|05:00 PM|-|21 FEB 16|21 FEB 16|
DELHI|BENGALURU|SUNDAY|SG  135|02:10 PM|05:00 PM|-|06 MAR 16|06 MAR 16|
DELHI|BENGALURU|SUNDAY|SG  135|02:10 PM|05:00 PM|-|20 MAR 16|20 MAR 16|
DELHI|BENGALURU|DAILY|SG  137|06:05 AM|08:50 AM|-|27 MAR 16|30 JUN 16|
DELHI|BENGALURU|SATURDAY|SG  135|02:40 PM|05:30 PM|-|27 MAR 16|30 JUN 16|
DELHI|BENGALURU|DAILY|SG  139|06:25 PM|09:10 PM|-|27 MAR 16|30 JUN 16|
DELHI|BENGALURU|DAILY|SG  141|08:30 PM|11:15 PM|-|27 MAR 16|30 JUN 16|
DELHI|CHENNAI|DAILY|SG  101|06:35 AM|09:25 AM|-|27 JUL 15|24 OCT 15|
DELHI|CHENNAI|DAILY|SG  209|08:00 PM|10:55 PM|-|08 AUG 15|24 OCT 15|
DELHI|CHENNAI|DAILY|SG  101|06:35 AM|09:25 AM|-|25 OCT 15|26 MAR 16|
DELHI|CHENNAI|DAILY|SG  103|01:35 PM|04:20 PM|-|25 OCT 15|26 MAR 16|
DELHI|CHENNAI|DAILY|SG  107|08:25 PM|11:10 PM|-|25 OCT 15|26 MAR 16|
DELHI|CHENNAI|DAILY|SG  101|06:35 AM|09:25 AM|-|27 MAR 16|30 JUN 16|
DELHI|CHENNAI|DAILY|SG  107|07:15 PM|10:00 PM|-|27 MAR 16|30 JUN 16|
DELHI|HYDERABAD|DAILY|SG  127|07:25 PM|09:20 PM|-|08 AUG 15|15 SEP 15|
DELHI|HYDERABAD|DAILY|SG  148|06:00 AM|08:00 AM|-|26 AUG 15|24 OCT 15|
DELHI|HYDERABAD|DAILY|SG  127|07:25 PM|09:20 PM|-|16 SEP 15|30 SEP 15|
DELHI|HYDERABAD|DAILY|SG  127|07:25 PM|09:20 PM|-|01 OCT 15|24 OCT 15|
DELHI|HYDERABAD|DAILY|SG  125|02:20 PM|04:15 PM|-|25 OCT 15|26 MAR 16|
DELHI|HYDERABAD|DAILY|SG  127|06:30 PM|08:30 PM|-|25 OCT 15|26 MAR 16|
DELHI|HYDERABAD|WEDNESDAY, FRIDAY, SUNDAY|SG 1211|09:15 PM|11:45 PM|-|25 OCT 15|26 MAR 16|
DELHI|HYDERABAD|DAILY|SG  121|06:00 AM|08:00 AM|-|27 MAR 16|30 JUN 16|
DELHI|HYDERABAD|DAILY|SG  127|07:25 PM|09:20 PM|-|27 MAR 16|30 JUN 16|
DELHI|KOLKATA|DAILY|SG  185|10:05 AM|02:10 PM|GUWAHATI|22 JUL 15|24 OCT 15|
DELHI|KOLKATA|DAILY|SG  251|09:20 AM|11:40 AM|-|18 AUG 15|24 OCT 15|
DELHI|KOLKATA|DAILY|SG  252|07:15 PM|09:35 PM|-|26 AUG 15|24 OCT 15|
DELHI|KOLKATA|DAILY|SG  263|06:15 AM|08:30 AM|-|15 OCT 15|10 JAN 16|
DELHI|KOLKATA|DAILY|SG  251|09:30 AM|11:40 AM|-|25 OCT 15|26 MAR 16|
DELHI|KOLKATA|DAILY|SG  255|08:20 PM|10:30 PM|-|25 OCT 15|26 MAR 16|
DELHI|KOLKATA|DAILY|SG  251|09:20 AM|11:40 AM|-|27 MAR 16|30 JUN 16|
DELHI|KOLKATA|DAILY|SG  162|10:05 AM|02:15 PM|GUWAHATI|27 MAR 16|30 JUN 16|
DELHI|KOLKATA|DAILY|SG  252|07:15 PM|09:35 PM|-|27 MAR 16|30 JUN 16|
MUMBAI|BENGALURU|DAILY|SG  413|08:05 AM|10:00 AM|-|01 JUL 15|24 OCT 15|
MUMBAI|BENGALURU|DAILY|SG  415|07:15 PM|09:00 PM|-|16 AUG 15|24 OCT 15|
MUMBAI|BENGALURU|DAILY|SG  413|08:15 AM|10:10 AM|-|25 OCT 15|26 MAR 16|
MUMBAI|BENGALURU|DAILY|SG  415|07:15 PM|09:00 PM|-|25 OCT 15|26 MAR 16|
MUMBAI|BENGALURU|DAILY|SG  413|08:05 AM|09:45 AM|-|27 MAR 16|30 JUN 16|
MUMBAI|BENGALURU|DAILY|SG  415|07:15 PM|09:00 PM|-|27 MAR 16|30 JUN 16|
MUMBAI|CHENNAI|DAILY|SG  407|10:20 PM|12:20 AM|-|31 JUL 15|24 OCT 15|
MUMBAI|CHENNAI|DAILY|SG  611|07:35 AM|09:35 AM|-|25 OCT 15|26 MAR 16|
MUMBAI|CHENNAI|DAILY|SG  407|08:20 PM|10:20 PM|-|25 OCT 15|26 MAR 16|
MUMBAI|CHENNAI|DAILY|SG  407|09:55 PM|12:20 AM|-|27 MAR 16|30 JUN 16|
MUMBAI|HYDERABAD|DAILY|SG  421|05:20 AM|06:40 AM|-|01 JUL 15|24 OCT 15|
MUMBAI|HYDERABAD|DAILY|SG  423|04:45 PM|06:05 PM|-|08 AUG 15|24 OCT 15|
MUMBAI|HYDERABAD|DAILY|SG  703|10:10 PM|11:10 PM|-|15 OCT 15|26 MAR 16|
MUMBAI|HYDERABAD|DAILY|SG  421|05:20 AM|06:40 AM|-|25 OCT 15|26 MAR 16|
MUMBAI|HYDERABAD|DAILY|SG  423|04:05 PM|05:35 PM|-|25 OCT 15|26 MAR 16|
MUMBAI|HYDERABAD|DAILY|SG  421|05:20 AM|06:40 AM|-|27 MAR 16|30 JUN 16|
MUMBAI|HYDERABAD|DAILY|SG  423|04:30 PM|05:50 PM|-|27 MAR 16|30 JUN 16|
MUMBAI|KOLKATA|DAILY|SG  185|07:35 AM|02:10 PM|DELHI, GUWAHATI|22 JUL 15|24 OCT 15|
MUMBAI|KOLKATA|DAILY|SG  487|07:45 PM|10:30 PM|-|18 AUG 15|24 OCT 15|
MUMBAI|KOLKATA|DAILY|SG  487|07:45 PM|10:30 PM|-|25 OCT 15|26 MAR 16|
